UserID,Department,UserRole,JobTitle,Location,RegisteredDevice,TypingSpeedRange,AvgKeyHoldTimeRange,AvgFlightTimeRange,PatternMatchRange
10001,Operations,Guest,Intern,Sydney,A4:5E:60:DF:89:06,47–79 wpm,90–167 ms,120–243 ms,0.69–0.95
10002,Finance,Finance,Financial Analyst,Sydney,3C:15:C2:F5:80:5A,49–87 wpm,92–157 ms,130–200 ms,0.53–0.84
10003,HR,HR,HR Manager,Bangalore,14:04:39:0F:E8:68,44–72 wpm,89–194 ms,101–207 ms,0.65–0.91
10004,Finance,Finance,Financial Analyst,Sydney,E6:05:F2:EE:52:A2,45–76 wpm,84–167 ms,148–273 ms,0.67–0.86
10005,HR,HR,Recruiter,Sydney,F0:18:98:B3:6E:35,49–87 wpm,89–182 ms,115–273 ms,0.52–0.91
10006,Marketing,Guest,Contractor,Sydney,3C:15:C2:0C:BB:B9,46–83 wpm,94–181 ms,148–207 ms,0.69–0.92
10007,Operations,Guest,Intern,Sydney,3C:15:C2:DE:B5:B1,43–84 wpm,94–183 ms,144–288 ms,0.62–0.92
10008,HR,HR,Recruiter,Sydney,A4:5E:60:70:24:7D,47–76 wpm,81–189 ms,126–245 ms,0.63–0.9
10009,Finance,Finance,Financial Analyst,Melbourne,3C:02:98:E8:A7:A5,45–73 wpm,94–152 ms,124–230 ms,0.55–0.97
10010,Operations,Guest,Contractor,Melbourne,62:A7:FE:B9:DA:8A,43–75 wpm,91–196 ms,101–272 ms,0.63–1.0
10011,Marketing,Guest,Intern,Sydney,F0:18:98:06:4D:45,42–78 wpm,83–155 ms,118–230 ms,0.54–0.93
10012,IT,Admin,System Administrator,Sydney,F3:7A:F5:2C:2D:EB,50–87 wpm,84–166 ms,116–261 ms,0.5–0.85
10013,Marketing,Guest,Contractor,Sydney,3C:15:C2:02:0E:77,45–79 wpm,84–157 ms,137–203 ms,0.69–0.93
10014,HR,HR,HR Manager,Sydney,A4:5E:60:C1:00:71,46–78 wpm,95–177 ms,146–210 ms,0.55–0.84
10015,Finance,Finance,Accountant,Sydney,A4:5E:60:8D:9F:CC,48–74 wpm,83–175 ms,142–278 ms,0.68–0.95
10016,HR,HR,HR Manager,Sydney,3C:15:C2:FA:C3:C0,48–73 wpm,89–161 ms,149–242 ms,0.55–0.97
10017,IT,Admin,System Administrator,Bangalore,E8:46:B9:0A:B9:78,46–84 wpm,100–166 ms,148–255 ms,0.61–0.89
10018,Marketing,Guest,Intern,Sydney,A4:5E:60:A9:AD:05,43–86 wpm,82–160 ms,139–234 ms,0.54–0.95
10019,HR,HR,Recruiter,Sydney,A4:5E:60:DD:F6:CC,44–90 wpm,85–162 ms,100–244 ms,0.66–0.81
10020,Marketing,Guest,Contractor,Sydney,AE:C3:50:CA:F4:7E,41–73 wpm,94–168 ms,148–216 ms,0.7–0.86
10021,Operations,Guest,Intern,Sydney,3C:15:C2:D3:20:F7,49–70 wpm,92–195 ms,147–277 ms,0.51–0.87
10022,IT,Admin,System Administrator,New York,08:34:E8:F6:F5:C9,42–89 wpm,89–155 ms,123–276 ms,0.57–0.94
10023,IT,Admin,Network Engineer,Bangalore,99:CF:76:EE:2F:CE,47–77 wpm,88–177 ms,106–226 ms,0.59–0.89
10024,HR,HR,Recruiter,Sydney,A4:5E:60:6D:19:00,45–81 wpm,97–180 ms,135–268 ms,0.64–0.97
10025,Marketing,Guest,Intern,Sydney,F0:18:98:FF:1F:DE,40–79 wpm,85–181 ms,136–274 ms,0.5–0.86
10026,Finance,Finance,Accountant,Sydney,F0:18:98:8D:11:B9,49–74 wpm,82–172 ms,120–262 ms,0.63–0.8
10027,HR,HR,HR Manager,Sydney,A4:5E:60:68:98:0C,46–75 wpm,98–183 ms,126–259 ms,0.59–0.94
10028,Operations,Guest,Intern,London,9D:FA:F1:23:0F:AE,48–86 wpm,98–161 ms,137–276 ms,0.55–0.94
10029,Finance,Finance,Accountant,London,38:22:6F:96:DE:29,40–78 wpm,81–152 ms,146–275 ms,0.65–0.92
10030,IT,Admin,Network Engineer,Sydney,F0:18:98:E0:02:D2,42–86 wpm,96–168 ms,124–248 ms,0.66–0.85
10031,HR,HR,HR Manager,Sydney,F0:18:98:03:E8:91,46–85 wpm,83–165 ms,129–239 ms,0.51–0.93
10032,IT,Admin,Network Engineer,Sydney,F0:18:98:CB:46:77,43–83 wpm,87–180 ms,137–203 ms,0.53–0.94
10033,Finance,Finance,Accountant,London,DA:A9:D3:C1:64:ED,45–72 wpm,86–199 ms,129–299 ms,0.64–0.87
10034,Marketing,Guest,Contractor,Melbourne,DD:24:94:1E:A0:17,47–70 wpm,85–177 ms,140–266 ms,0.59–0.98
10035,Finance,Finance,Accountant,Sydney,F0:18:98:13:C7:CE,50–73 wpm,83–174 ms,107–213 ms,0.55–0.89
10036,Finance,Finance,Financial Analyst,Sydney,F0:18:98:77:61:FD,45–86 wpm,83–162 ms,130–288 ms,0.56–0.93
