2025-05-14 19:40:14,195 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Admin', 'OperationType': 'Read', 'DeviceType': 'Laptop', 'Browser': 'Edge', 'IPAddress': '10.83.220.141', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 36.0, 'AvgKeyHoldTime': 137.93, 'AvgFlightTime': 61.69, 'PatternMatchScore': 0.83, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.84, 'LoginTimestamp': '2025-05-14 09:47:00', 'LogoutTimestamp': '2025-05-14 10:55:00', 'SessionDuration': 68, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:40:26,368 INFO: Emitted: {'UserID': 10141, 'MACAddress': '3C:15:C2:D7:F0:9E', 'UserRole': 'Developer', 'OperationType': 'Read', 'DeviceType': 'Tablet', 'Browser': 'Chrome', 'IPAddress': '10.14.138.17', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 36.0, 'AvgKeyHoldTime': 146.45, 'AvgFlightTime': 107.11, 'PatternMatchScore': 0.92, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.1, 'LoginTimestamp': '2025-05-14 08:36:00', 'LogoutTimestamp': '2025-05-14 10:25:00', 'SessionDuration': 109, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:40:38,498 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Developer', 'OperationType': 'Share', 'DeviceType': 'Desktop', 'Browser': 'Firefox', 'IPAddress': '10.58.227.228', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 90.0, 'AvgKeyHoldTime': 84.99, 'AvgFlightTime': 112.68, 'PatternMatchScore': 0.99, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.82, 'LoginTimestamp': '2025-05-14 08:09:00', 'LogoutTimestamp': '2025-05-14 08:55:00', 'SessionDuration': 46, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:40:50,608 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'HR', 'OperationType': 'Read', 'DeviceType': 'Mobile', 'Browser': 'Safari', 'IPAddress': '10.157.188.200', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 50.62, 'AvgKeyHoldTime': 89.85, 'AvgFlightTime': 92.05, 'PatternMatchScore': 0.9, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.25, 'LoginTimestamp': '2025-05-14 09:25:00', 'LogoutTimestamp': '2025-05-14 10:09:00', 'SessionDuration': 44, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:41:02,703 INFO: Emitted: {'UserID': 10141, 'MACAddress': '97:94:D6:E5:80:EC', 'UserRole': 'Developer', 'OperationType': 'Read', 'DeviceType': 'Mobile', 'Browser': 'Safari', 'IPAddress': '172.16.13.208', 'VPN_Used': True, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 62.57, 'AvgKeyHoldTime': 108.27, 'AvgFlightTime': 86.71, 'PatternMatchScore': 0.98, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.82, 'LoginTimestamp': '2025-05-14 07:32:00', 'LogoutTimestamp': '2025-05-14 08:36:00', 'SessionDuration': 64, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:41:14,808 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Guest', 'OperationType': 'Delete', 'DeviceType': 'Desktop', 'Browser': 'Safari', 'IPAddress': '10.166.217.189', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 57.59, 'AvgKeyHoldTime': 124.64, 'AvgFlightTime': 81.04, 'PatternMatchScore': 0.84, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.31, 'LoginTimestamp': '2025-05-14 09:16:00', 'LogoutTimestamp': '2025-05-14 10:04:00', 'SessionDuration': 48, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:41:26,936 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Admin', 'OperationType': 'Share', 'DeviceType': 'Laptop', 'Browser': 'Firefox', 'IPAddress': '10.147.79.243', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 70.09, 'AvgKeyHoldTime': 180.0, 'AvgFlightTime': 54.06, 'PatternMatchScore': 0.89, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.64, 'LoginTimestamp': '2025-05-14 09:41:00', 'LogoutTimestamp': '2025-05-14 11:08:00', 'SessionDuration': 87, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:41:39,031 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Finance', 'OperationType': 'Read', 'DeviceType': 'Laptop', 'Browser': 'Safari', 'IPAddress': '10.86.73.106', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 71.46, 'AvgKeyHoldTime': 100.7, 'AvgFlightTime': 104.07, 'PatternMatchScore': 0.93, 'KeystrokeDynamicStatus': 'Pass', 'Keystroke_Score': 0, 'LoginTimeDeviation': 0.84, 'LoginTimestamp': '2025-05-14 07:07:00', 'LogoutTimestamp': '2025-05-14 08:41:00', 'SessionDuration': 94, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.0, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Allow', 'SessionLocation': 'Sydney'}
2025-05-14 19:41:51,129 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'HR', 'OperationType': 'Read', 'DeviceType': 'Mobile', 'Browser': 'Chrome', 'IPAddress': '10.22.243.198', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 71.81, 'AvgKeyHoldTime': 180.0, 'AvgFlightTime': 109.82, 'PatternMatchScore': 0.97, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.27, 'LoginTimestamp': '2025-05-14 09:29:00', 'LogoutTimestamp': '2025-05-14 10:11:00', 'SessionDuration': 42, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:42:03,247 INFO: Emitted: {'UserID': 10141, 'MACAddress': 'E7:97:FB:4C:75:34', 'UserRole': 'Admin', 'OperationType': 'Delete', 'DeviceType': 'Desktop', 'Browser': 'Firefox', 'IPAddress': '10.106.5.53', 'VPN_Used': False, 'ISP': 'CompanyISP', 'AccessChannel': 'InternalNetwork', 'TypingSpeed': 46.12, 'AvgKeyHoldTime': 134.81, 'AvgFlightTime': 70.98, 'PatternMatchScore': 0.64, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.89, 'LoginTimestamp': '2025-05-14 07:34:00', 'LogoutTimestamp': '2025-05-14 09:14:00', 'SessionDuration': 100, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
2025-05-14 19:42:16,316 INFO: Emitted: {'UserID': 10141, 'MACAddress': '99:41:B2:A7:9E:9A', 'UserRole': 'Finance', 'OperationType': 'Share', 'DeviceType': 'Tablet', 'Browser': 'Chrome', 'IPAddress': '100.169.19.6', 'VPN_Used': True, 'ISP': 'Verizon', 'AccessChannel': 'ExternalNetwork', 'TypingSpeed': 48.4, 'AvgKeyHoldTime': 90.7, 'AvgFlightTime': 78.0, 'PatternMatchScore': 1.2, 'KeystrokeDynamicStatus': 'Fail', 'Keystroke_Score': 0.2, 'LoginTimeDeviation': 0.25, 'LoginTimestamp': '2025-05-14 11:09:13', 'LogoutTimestamp': '2025-05-14 13:02:13', 'SessionDuration': 113, 'Duration_RiskScore': 0, 'Aggregate_Behavior': 0.1, 'GeoVelocityFlag': False, 'ThreatIntelMatch': False, 'AccessDecision': 'Deny', 'SessionLocation': 'Sydney'}
